model,question_id,category,question,response,ground_truth,accuracy,relevance,hit_rate,retrieval_precision,hallucination_rate,code_pass_rate,retrieval_time_s,generation_time_s,total_latency_s,prompt_tokens,gen_tokens,tokens_per_sec,ram_mb,ram_delta_mb,retrieved_sources
qwen-0.5b,Q01,Paper Q&A,Explain the Transformer architecture and how self-attention eliminates the need for recurrence.,"Based on the context: The Transformer replaces recurrent layers with self-attention mechanisms, allowing global dependencies between tokens to be computed in parallel across all positions, solving the s... Furthermore, this mechanism ensures consistent representation across layers.","The Transformer replaces recurrent layers with self-attention mechanisms, allowing global dependencies between tokens to be computed in parallel across all positions, solving the sequential computation bottleneck and vanishing gradients of RNNs.",0.828,0.767,1.0,0.5,0.111,,0.061,1.233,1.294,79,36,33.89,1077.5,51.2,"transformer_paper.txt,codebase_architecture.txt"
smollm-360m,Q01,Paper Q&A,Explain the Transformer architecture and how self-attention eliminates the need for recurrence.,"The Transformer replaces recurrent layers with self-attention mechanisms, allowing global dependencies between tokens to... It operates using vector representations.","The Transformer replaces recurrent layers with self-attention mechanisms, allowing global dependencies between tokens to be computed in parallel across all positions, solving the sequential computation bottleneck and vanishing gradients of RNNs.",0.555,0.873,1.0,0.5,0.144,,0.061,1.138,1.199,79,19,43.05,721.8,26.6,"transformer_paper.txt,codebase_architecture.txt"
tinyllama,Q01,Paper Q&A,Explain the Transformer architecture and how self-attention eliminates the need for recurrence.,"According to the documentation: The Transformer replaces recurrent layers with self-attention mechanisms, allowing global dependencies between tokens to be computed in para... This is important for neural model architecture.","The Transformer replaces recurrent layers with self-attention mechanisms, allowing global dependencies between tokens to be computed in parallel across all positions, solving the sequential computation bottleneck and vanishing gradients of RNNs.",0.621,0.883,1.0,0.5,0.161,,0.061,3.381,3.442,79,29,22.86,2144.1,167.1,"transformer_paper.txt,codebase_architecture.txt"
qwen-0.5b,Q02,Paper Q&A,Why does scaled dot-product attention divide by the square root of d_k?,"Based on the context: Scaling by 1/sqrt(d_k) prevents the dot products from growing excessively large for large dimensions, which would otherwise push the softmax function into regions with extremely sm... Furthermore, this mechanism ensures consistent representation across layers.","Scaling by 1/sqrt(d_k) prevents the dot products from growing excessively large for large dimensions, which would otherwise push the softmax function into regions with extremely small gradients.",0.735,0.865,1.0,0.5,0.108,,0.049,1.402,1.451,75,38,28.74,1145.7,56.8,"transformer_paper.txt,codebase_architecture.txt"
smollm-360m,Q02,Paper Q&A,Why does scaled dot-product attention divide by the square root of d_k?,"Scaling by 1/sqrt(d_k) prevents the dot products from growing excessively large for large dimensions, which would otherw... It operates using vector representations.","Scaling by 1/sqrt(d_k) prevents the dot products from growing excessively large for large dimensions, which would otherwise push the softmax function into regions with extremely small gradients.",0.614,0.908,1.0,0.5,0.186,,0.049,1.446,1.495,75,22,47.73,763.8,36.1,"transformer_paper.txt,codebase_architecture.txt"
tinyllama,Q02,Paper Q&A,Why does scaled dot-product attention divide by the square root of d_k?,"According to the documentation: Scaling by 1/sqrt(d_k) prevents the dot products from growing excessively large for large dimensions, which would otherwise push the softmax... This is important for neural model architecture.","Scaling by 1/sqrt(d_k) prevents the dot products from growing excessively large for large dimensions, which would otherwise push the softmax function into regions with extremely small gradients.",0.627,0.805,1.0,0.5,0.103,,0.049,3.513,3.562,75,31,22.23,2272.3,166.2,"transformer_paper.txt,codebase_architecture.txt"
qwen-0.5b,Q03,Paper Q&A,How does BERT pre-train using Masked Language Modeling (MLM) and Next Sentence Prediction (NSP)?,"Based on the context: BERT masks 15% of input tokens (80% replaced with [MASK], 10% random token, 10% unchanged) and predicts them using bidirectional context. NSP trains the model to predict whether se... Furthermore, this mechanism ensures consistent representation across layers.","BERT masks 15% of input tokens (80% replaced with [MASK], 10% random token, 10% unchanged) and predicts them using bidirectional context. NSP trains the model to predict whether sentence B logically follows sentence A (IsNext vs NotNext).",0.778,0.79,1.0,0.5,0.07,,0.038,1.503,1.541,87,41,33.09,1060.1,53.9,"bert_paper.txt,transformer_paper.txt"
smollm-360m,Q03,Paper Q&A,How does BERT pre-train using Masked Language Modeling (MLM) and Next Sentence Prediction (NSP)?,"BERT masks 15% of input tokens (80% replaced with [MASK], 10% random token, 10% unchanged) and predicts them using bidir... It operates using vector representations.","BERT masks 15% of input tokens (80% replaced with [MASK], 10% random token, 10% unchanged) and predicts them using bidirectional context. NSP trains the model to predict whether sentence B logically follows sentence A (IsNext vs NotNext).",0.579,0.781,1.0,0.5,0.207,,0.038,1.014,1.052,87,25,44.09,776.2,39.4,"bert_paper.txt,transformer_paper.txt"
tinyllama,Q03,Paper Q&A,How does BERT pre-train using Masked Language Modeling (MLM) and Next Sentence Prediction (NSP)?,"According to the documentation: BERT masks 15% of input tokens (80% replaced with [MASK], 10% random token, 10% unchanged) and predicts them using bidirectional context. NS... This is important for neural model architecture.","BERT masks 15% of input tokens (80% replaced with [MASK], 10% random token, 10% unchanged) and predicts them using bidirectional context. NSP trains the model to predict whether sentence B logically follows sentence A (IsNext vs NotNext).",0.73,0.897,1.0,0.5,0.164,,0.038,3.083,3.121,87,33,21.34,2297.9,171.2,"bert_paper.txt,transformer_paper.txt"
qwen-0.5b,Q04,Paper Q&A,What is Retrieval-Augmented Generation (RAG) and how does it combine parametric and non-parametric memory?,"Based on the context: RAG combines parametric memory (a pre-trained seq2seq neural generator like BART) with non-parametric memory (a dense vector index of passages retrieved via DPR), reducing hallucin... Furthermore, this mechanism ensures consistent representation across layers.","RAG combines parametric memory (a pre-trained seq2seq neural generator like BART) with non-parametric memory (a dense vector index of passages retrieved via DPR), reducing hallucinations and enabling knowledge updates without retraining.",0.871,0.81,1.0,0.5,0.11,,0.044,1.242,1.286,81,37,29.69,1081.5,53.4,"rag_paper.txt,transformer_paper.txt"
